,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
320,1,5,29,1,1996,02,21,1
321,1,5,6,1,1996,02,23,1
322,2,5,48,1,1996,02,27,1
323,2,5,22,1,1996,03,01,1
324,1,5,32,1,1996,03,30,1
325,1,5,29,1,1996,04,10,1
327,1,5,40,1,1996,04,26,1
328,1,5,6,1,1996,05,03,1
329,1,5,45,1,1996,05,31,1
330,1,5,4,1,1996,06,19,1
331,1,2,31,1,1996,07,17,1
332,1,5,51,1,1996,07,17,1
333,2,5,18,1,1996,07,18,1
334,1,5,45,1,1996,07,19,1
335,3,5,29,1,1996,07,31,1
336,2,5,29,1,1996,08,07,1
337,1,5,5,1,1996,08,08,1
338,1,5,40,1,1996,08,09,1
339,1,5,29,1,1996,08,21,1
340,5,5,4,1,1996,08,22,1
341,1,5,45,1,1996,09,06,1
342,1,5,41,1,1996,09,06,1
343,2,5,17,1,1996,09,18,1
344,5,5,48,1,1996,09,18,1
345,1,2,45,1,1996,10,04,1
346,2,2,12,1,1996,10,21,1
347,1,2,13,1,1996,11,14,1
348,1,5,45,1,1996,11,15,1
349,1,2,13,1,1996,11,15,1
350,2,5,51,1,1996,11,21,1
351,2,5,45,1,1996,11,22,1
352,1,5,51,1,1996,12,03,1
353,2,2,12,1,1996,12,06,1
354,2,5,51,1,1996,12,10,1
355,1,5,29,1,1996,12,11,1
356,1,5,51,1,1996,12,12,1
357,1,5,51,1,1996,12,16,1
358,1,5,5,1,1997,01,08,1
359,5,5,5,1,1997,01,08,1
360,2,5,5,1,1997,01,08,1
361,1,2,1,1,1997,01,10,1
362,1,5,4,1,1997,01,23,1
363,1,5,29,1,1997,01,29,1
364,1,5,51,1,1997,02,06,1
365,1,5,48,1,1997,02,10,1
366,2,5,51,1,1997,02,26,1
367,2,5,48,1,1997,03,12,1
368,5,2,12,1,1997,03,25,1
369,1,5,48,1,1997,04,02,1
370,1,5,48,1,1997,04,03,1
371,1,5,48,1,1997,04,14,1
372,1,5,48,1,1997,04,16,1
373,1,5,48,1,1997,04,21,1
374,1,5,22,1,1997,04,24,1
375,1,5,48,1,1997,04,29,1
376,2,2,1,1,1997,05,02,1
377,2,5,48,1,1997,05,06,1
378,3,5,40,1,1997,05,08,1
379,2,5,48,1,1997,05,13,1
380,1,5,41,1,1997,05,16,1
381,1,5,48,1,1997,05,16,1
382,1,5,48,1,1997,05,19,1
383,1,5,48,1,1997,05,20,1
384,2,5,48,1,1997,05,21,1
385,1,5,48,1,1997,05,22,1
386,1,5,48,1,1997,05,28,1
387,2,5,48,1,1997,06,02,1
388,2,5,48,1,1997,06,03,1
389,2,5,48,1,1997,06,04,1
390,5,5,48,1,1997,06,04,1
391,1,2,1,1,1997,06,06,1
392,1,5,48,1,1997,06,11,1
393,1,5,45,1,1997,06,13,1
394,1,5,48,1,1997,06,16,1
395,2,5,48,1,1997,06,17,1
396,5,5,48,1,1997,06,18,1
397,1,5,4,1,1997,06,25,1
398,1,2,21,1,1997,07,01,1
399,2,5,24,1,1997,07,02,1
400,1,5,51,1,1997,07,17,1
401,1,5,51,1,1997,07,23,1
402,3,5,48,1,1997,07,29,1
403,1,5,29,1,1997,08,06,1
404,1,5,5,1,1997,08,06,1
405,1,5,29,1,1997,08,13,1
406,2,5,51,1,1997,08,19,1
407,1,5,29,1,1997,08,20,1
408,2,5,48,1,1997,09,09,1
409,5,5,51,1,1997,09,17,1
410,2,5,48,1,1997,09,22,1
411,2,5,29,1,1997,09,24,1
412,1,5,48,1,1997,09,25,1
413,1,5,48,1,1997,09,30,1
414,2,5,48,1,1997,10,01,1
415,1,5,48,1,1997,10,08,1
416,1,5,8,1,1997,10,13,1
417,1,5,29,1,1997,10,22,1
418,2,5,48,1,1997,10,28,1
419,4,5,48,1,1997,11,04,1
420,1,5,48,1,1997,11,06,1
421,2,5,45,1,1997,11,07,1
422,2,5,51,1,1997,11,13,1
423,2,5,17,1,1997,11,19,1
424,2,5,17,1,1997,11,19,1
425,1,5,48,1,1997,11,19,1
426,2,5,18,1,1997,11,20,1
427,2,5,48,1,1997,11,21,1
429,1,5,48,1,1997,12,09,1
430,2,5,51,1,1997,12,09,1
431,1,5,51,1,1997,12,11,1
432,1,5,17,1,1998,01,21,1
433,5,5,4,1,1998,01,21,1
434,1,5,18,1,1998,01,29,1
435,1,3,37,1,1998,01,30,1
436,1,5,48,2,1998,02,03,1
437,1,5,48,1,1998,02,09,1
438,2,5,51,1,1998,02,10,1
439,1,5,40,1,1998,02,20,1
440,1,5,30,1,1998,02,24,1
441,2,5,29,1,1998,02,25,1
442,1,5,45,1,1998,03,06,1
443,1,5,48,1,1998,03,11,1
444,1,5,51,1,1998,03,18,1
445,1,2,12,1,1998,03,23,1
446,2,2,12,1,1998,03,24,1
447,2,5,29,1,1998,03,25,1
448,2,5,51,1,1998,03,25,1
449,1,2,12,2,1998,03,30,1
450,3,2,12,1,1998,03,31,1
451,5,5,51,1,1998,04,14,1
452,1,5,29,1,1998,04,22,1
453,5,5,4,1,1998,04,22,1
454,1,5,48,1,1998,04,22,1
455,1,5,48,1,1998,04,24,1
456,1,5,4,1,1998,04,29,1
457,1,5,48,1,1998,04,29,1
458,1,2,1,1,1998,05,08,1
459,2,5,48,1,1998,05,18,1
460,5,5,48,1,1998,05,19,1
461,1,5,4,1,1998,06,03,1
462,1,2,13,1,1998,06,09,1
463,1,5,48,1,1998,06,11,1
464,1,5,48,1,1998,06,15,1
465,1,5,51,1,1998,06,18,1
