,Year,Race,Sex,Execution Method
706,2001,1,1,5
707,2001,2,1,5
708,2001,2,1,5
709,2001,1,1,5
710,2001,1,2,5
711,2001,1,1,5
712,2001,3,1,5
713,2001,2,1,5
714,2001,2,1,5
715,2001,2,1,5
716,2001,1,1,5
717,2001,1,1,5
718,2001,2,1,5
719,2001,5,1,5
720,2001,2,1,5
721,2001,1,1,5
722,2001,2,1,5
723,2001,1,1,5
724,2001,3,1,5
725,2001,1,1,5
726,2001,1,1,5
727,2001,1,1,5
728,2001,1,1,5
729,2001,1,1,5
730,2001,1,1,5
731,2001,1,1,5
732,2001,1,1,5
733,2001,2,1,5
734,2001,1,1,5
735,2001,1,1,5
736,2001,2,1,5
737,2001,1,1,5
738,2001,1,1,5
739,2001,2,1,5
740,2001,1,1,5
741,2001,1,1,5
742,2001,1,1,5
743,2001,2,1,5
744,2001,1,1,5
745,2001,1,2,5
746,2001,Other Race,1,5
747,2001,1,1,5
748,2001,2,1,5
749,2002,1,1,5
750,2002,1,1,5
751,2002,2,1,5
752,2002,1,1,5
753,2002,1,1,5
754,2002,1,1,5
755,2002,2,1,5
756,2002,1,1,5
757,2002,1,1,5
758,2002,2,1,5
759,2002,1,1,5
760,2002,1,1,5
761,2002,1,1,5
762,2002,2,1,5
763,2002,1,1,5
764,2002,1,1,5
765,2002,1,1,5
766,2002,1,1,5
767,2002,5,1,5
768,2002,2,1,5
769,2002,1,1,5
770,2002,2,1,5
771,2002,5,1,5
772,2002,1,1,5
773,2002,2,1,5
774,2002,1,2,2
775,2002,1,1,5
776,2002,1,1,5
777,2002,5,1,5
778,2002,2,1,5
779,2002,1,1,5
780,2002,2,1,5
781,2002,1,1,5
782,2002,1,1,5
783,2002,2,1,5
784,2002,1,1,5
785,2002,1,1,5
786,2002,1,1,5
787,2002,1,1,5
788,2002,2,1,5
789,2002,5,1,5
790,2002,1,1,5
791,2002,1,1,5
792,2002,1,1,5
793,2002,2,1,5
794,2002,2,1,5
795,2002,2,1,5
796,2002,1,1,5
797,2002,1,1,5
798,2002,1,1,5
799,2002,1,1,5
800,2002,1,1,5
801,2002,2,1,5
802,2002,1,1,5
803,2002,5,1,5
804,2002,1,2,5
805,2002,1,1,5
806,2002,Other Race,1,5
807,2002,1,1,5
808,2002,1,1,5
809,2002,1,1,5
810,2002,5,1,5
811,2002,1,1,5
812,2002,2,1,5
813,2002,2,1,5
814,2002,1,1,5
815,2002,1,1,5
816,2002,1,1,5
817,2002,1,1,5
818,2002,1,1,5
819,2002,2,1,5
820,2003,1,1,5
821,2003,5,1,5
822,2003,1,1,5
823,2003,1,1,5
824,2003,2,1,5
825,2003,1,1,5
826,2003,1,1,5
827,2003,5,1,5
828,2003,1,1,5
829,2003,2,1,5
830,2003,1,1,5
831,2003,2,1,5
832,2003,2,1,5
833,2003,2,1,5
834,2003,1,1,5
835,2003,1,1,5
836,2003,2,1,5
837,2003,2,1,5
838,2003,2,1,5
839,2003,2,1,5
840,2003,1,1,5
841,2003,1,1,5
842,2003,1,1,5
843,2003,1,1,5
844,2003,1,1,2
845,2003,2,1,5
846,2003,5,1,5
847,2003,1,1,5
848,2003,1,1,5
849,2003,1,1,5
850,2003,1,1,5
851,2003,1,1,5
852,2003,1,1,5
853,2003,1,1,5
854,2003,1,1,5
855,2003,2,1,5
856,2003,2,1,5
857,2003,1,1,5
858,2003,2,1,5
859,2003,1,1,5
860,2003,1,1,5
861,2003,1,1,5
862,2003,2,1,5
863,2003,2,1,5
864,2003,2,1,5
865,2003,1,1,5
866,2003,2,1,5
867,2003,1,1,5
868,2003,1,1,5
869,2003,1,1,5
870,2003,1,1,5
871,2003,2,1,5
872,2003,1,1,5
873,2003,1,1,5
874,2003,3,1,5
875,2003,1,1,5
876,2003,1,1,5
877,2003,1,1,5
878,2003,1,1,5
879,2003,1,1,5
880,2003,2,1,5
881,2003,1,1,5
882,2003,1,1,5
883,2003,1,1,5
884,2003,2,1,5
885,2004,2,1,5
886,2004,2,1,5
887,2004,1,1,5
888,2004,2,1,5
889,2004,2,1,5
890,2004,2,1,5
891,2004,1,1,5
892,2004,1,1,5
893,2004,1,1,5
894,2004,2,1,5
895,2004,2,1,5
896,2004,2,1,5
897,2004,1,1,5
898,2004,1,1,5
899,2004,2,1,5
900,2004,1,1,5
901,2004,1,1,5
902,2004,1,1,5
903,2004,Asian,1,5
904,2004,1,1,5
905,2004,1,1,5
906,2004,1,1,5
907,2004,1,1,5
908,2004,1,1,5
909,2004,2,1,5
910,2004,1,1,5
911,2004,1,1,2
912,2004,1,1,5
913,2004,1,1,5
914,2004,1,1,5
915,2004,1,1,5
916,2004,1,1,5
917,2004,1,1,5
918,2004,1,1,5
919,2004,1,1,5
920,2004,1,1,5
921,2004,1,1,5
922,2004,1,1,5
923,2004,1,1,5
924,2004,1,1,5
925,2004,1,1,5
926,2004,2,1,5
927,2004,2,1,5
928,2004,5,1,5
929,2004,1,1,5
930,2004,2,1,5
931,2004,5,1,5
932,2004,2,1,5
933,2004,1,1,5
934,2004,2,1,5
935,2004,1,1,5
936,2004,1,1,5
937,2004,2,1,5
938,2004,2,1,5
939,2004,1,1,5
940,2004,2,1,5
941,2004,2,1,5
942,2004,1,1,5
943,2004,5,1,5
944,2005,1,1,5
945,2005,1,1,5
946,2005,1,1,5
947,2005,1,1,5
948,2005,1,1,5
949,2005,1,1,5
950,2005,2,1,5
951,2005,1,1,5
952,2005,1,1,5
953,2005,1,1,5
954,2005,1,1,5
955,2005,2,1,5
956,2005,1,1,5
957,2005,1,1,5
958,2005,1,1,5
959,2005,1,1,5
960,2005,2,1,5
961,2005,1,1,5
962,2005,1,1,5
963,2005,2,1,5
964,2005,2,1,5
965,2005,1,1,5
966,2005,2,1,5
967,2005,2,1,5
968,2005,1,1,5
969,2005,1,1,5
970,2005,1,1,5
971,2005,5,1,5
972,2005,1,1,5
973,2005,2,1,5
974,2005,1,1,5
975,2005,5,1,5
976,2005,1,1,5
977,2005,2,1,5
978,2005,2,1,5
979,2005,1,1,5
980,2005,1,1,5
981,2005,2,2,5
982,2005,1,1,5
983,2005,1,1,5
984,2005,1,1,5
985,2005,2,1,5
986,2005,5,1,5
987,2005,2,1,5
988,2005,2,1,5
989,2005,1,1,5
990,2005,1,1,5
991,2005,2,1,5
992,2005,1,1,5
993,2005,1,1,5
994,2005,1,1,5
995,2005,2,1,5
996,2005,Other Race,1,5
